ric,position_type,knowledge_date,effective_date,account,direction,qty,purpose
IBM.N,SD,2017-06-09,2017-06-09,ICP5456,Debit,1300,Outright
DIS.OQ,TD,2016-06-19,2016-06-22,ICP3870,Credit,1400,Outright
FB.OQ,TD,2017-02-28,2017-03-03,ICP2447,Debit,1500,Outright
FB.N,TD,2017-03-12,2017-03-15,ICP1076,Debit,1400,Outright
GOOGL.OQ,TD,2016-04-10,2016-04-13,ICP0178,Credit,1000,Outright
IBM.L,TD,2016-10-15,2016-10-18,ICP1014,Debit,1000,Outright
IBM.L,SD,2016-10-11,2016-10-11,ICP4236,Debit,600,Outright
AMZN.OQ,SD,2016-03-21,2016-03-21,ICP9382,Debit,1500,Outright
IBM.L,TD,2016-09-25,2016-09-28,ICP2113,Debit,1400,Outright
GOOGL.L,SD,2017-10-25,2017-10-25,ICP2951,Credit,1800,Outright
DIS.L,SD,2016-06-07,2016-06-07,ICP7010,Debit,1900,Outright
APPL.L,SD,2017-08-04,2017-08-04,ICP3406,Credit,600,Outright
AMZN.L,SD,2017-09-09,2017-09-09,ICP6385,Credit,1000,Outright
DIS.L,SD,2017-10-08,2017-10-08,ICP8913,Credit,2000,Outright
AMZN.N,SD,2017-03-16,2017-03-16,ICP0894,Debit,1200,Outright
F.L,SD,2016-03-03,2016-03-03,ICP9033,Debit,400,Outright
IBM.N,SD,2016-10-27,2016-10-27,ICP0595,Debit,1500,Outright
AMZN.OQ,SD,2016-03-14,2016-03-14,ICP8137,Debit,1800,Outright
AMZN.N,TD,2016-11-25,2016-11-28,ICP5768,Debit,1300,Outright
APPL.OQ,SD,2017-10-01,2017-10-01,ICP4773,Debit,1100,Outright
IBM.N,TD,2016-12-08,2016-12-11,ICP1455,Debit,1200,Outright
AMZN.OQ,TD,2017-06-26,2017-06-29,ICP3259,Credit,600,Outright
GOOGL.L,TD,2016-11-17,2016-11-20,ICP7776,Debit,100,Outright
GOOGL.N,TD,2016-10-09,2016-10-12,ICP4783,Debit,1500,Outright
AMZN.L,SD,2016-04-09,2016-04-09,ICP6414,Credit,1400,Outright
DIS.OQ,SD,2016-01-04,2016-01-04,ICP8044,Credit,100,Outright
DIS.L,TD,2017-11-11,2017-11-14,ICP9670,Debit,1700,Outright
GOOGL.L,TD,2017-04-01,2017-04-04,ICP5096,Debit,800,Outright
IBM.N,SD,2017-03-26,2017-03-26,ICP8198,Debit,300,Outright
DIS.L,TD,2016-11-04,2016-11-07,ICP3648,Credit,1000,Outright
F.N,TD,2016-11-18,2016-11-21,ICP6258,Debit,300,Outright
TSLA.N,SD,2017-08-03,2017-08-03,ICP5239,Credit,1400,Outright
APPL.OQ,SD,2016-01-13,2016-01-13,ICP2335,Debit,600,Outright
AMZN.N,SD,2016-09-10,2016-09-10,ICP1732,Debit,1300,Outright
IBM.L,TD,2017-07-25,2017-07-28,ICP6882,Credit,400,Outright
FB.N,SD,2016-04-18,2016-04-18,ICP4837,Debit,1200,Outright
IBM.N,SD,2016-11-15,2016-11-15,ICP7664,Credit,2000,Outright
APPL.OQ,SD,2016-06-27,2016-06-27,ICP9987,Credit,1000,Outright
F.N,TD,2016-01-08,2016-01-11,ICP6035,Credit,600,Outright
APPL.OQ,TD,2016-06-22,2016-06-25,ICP4208,Credit,2000,Outright
F.N,SD,2017-11-11,2017-11-11,ICP5047,Debit,100,Outright
DIS.L,SD,2017-10-01,2017-10-01,ICP3277,Credit,1700,Outright
DIS.OQ,TD,2017-06-24,2017-06-27,ICP3229,Debit,500,Outright
DIS.OQ,SD,2016-12-04,2016-12-04,ICP8376,Credit,1000,Outright
AMZN.OQ,TD,2017-01-20,2017-01-23,ICP4288,Debit,1700,Outright
DIS.N,TD,2016-07-19,2016-07-22,ICP2595,Debit,500,Outright
IBM.N,TD,2017-06-04,2017-06-07,ICP9467,Debit,1100,Outright
TSLA.N,TD,2017-06-22,2017-06-25,ICP9272,Credit,1600,Outright
FB.OQ,TD,2017-01-05,2017-01-08,ICP0624,Debit,1200,Outright
DIS.OQ,SD,2017-11-14,2017-11-14,ICP4939,Credit,1600,Outright
TSLA.L,TD,2016-10-02,2016-10-05,ICP3322,Debit,700,Outright
F.L,TD,2017-11-11,2017-11-14,ICP9271,Credit,1600,Outright
FB.L,TD,2017-02-04,2017-02-07,ICP7923,Debit,1300,Outright
APPL.L,TD,2017-10-04,2017-10-07,ICP0162,Credit,400,Outright
GOOGL.N,TD,2016-01-24,2016-01-27,ICP4886,Debit,1100,Outright
FB.N,SD,2017-01-24,2017-01-24,ICP4617,Credit,1300,Outright
F.OQ,TD,2016-03-12,2016-03-15,ICP8588,Debit,300,Outright
F.N,TD,2016-09-20,2016-09-23,ICP0858,Debit,100,Outright
TSLA.N,SD,2017-06-24,2017-06-24,ICP9609,Credit,1300,Outright
F.OQ,TD,2016-11-25,2016-11-28,ICP6192,Debit,200,Outright
AMZN.OQ,SD,2016-12-20,2016-12-20,ICP6122,Credit,500,Outright
DIS.L,TD,2016-05-12,2016-05-15,ICP9765,Debit,1300,Outright
FB.OQ,SD,2017-05-16,2017-05-16,ICP0830,Credit,1900,Outright
TSLA.N,TD,2017-08-13,2017-08-16,ICP7540,Debit,400,Outright
IBM.N,TD,2017-05-09,2017-05-12,ICP2157,Credit,700,Outright
DIS.N,TD,2016-11-17,2016-11-20,ICP2573,Credit,600,Outright
GOOGL.N,SD,2017-04-15,2017-04-15,ICP0293,Debit,600,Outright
TSLA.L,SD,2017-07-18,2017-07-18,ICP6692,Debit,100,Outright
TSLA.L,SD,2016-07-20,2016-07-20,ICP9682,Debit,300,Outright
APPL.OQ,TD,2017-10-24,2017-10-27,ICP0379,Credit,1600,Outright
APPL.N,SD,2016-08-09,2016-08-09,ICP5368,Credit,1400,Outright
GOOGL.N,SD,2016-06-21,2016-06-21,ICP6230,Credit,400,Outright
F.OQ,SD,2016-01-04,2016-01-04,ICP0437,Debit,700,Outright
DIS.L,SD,2016-09-01,2016-09-01,ICP1037,Debit,1400,Outright
APPL.L,SD,2017-02-10,2017-02-10,ICP9511,Debit,500,Outright
DIS.N,TD,2016-02-10,2016-02-13,ICP4089,Debit,2000,Outright
IBM.L,SD,2017-07-01,2017-07-01,ICP9345,Debit,100,Outright
TSLA.L,TD,2017-03-12,2017-03-15,ICP4471,Credit,1100,Outright
F.L,TD,2016-01-12,2016-01-15,ICP9006,Debit,300,Outright
AMZN.OQ,TD,2016-05-07,2016-05-10,ICP6061,Debit,1800,Outright
DIS.OQ,SD,2017-07-15,2017-07-15,ICP5542,Debit,300,Outright
F.OQ,TD,2017-01-20,2017-01-23,ICP3239,Debit,400,Outright
IBM.L,TD,2017-10-22,2017-10-25,ICP6378,Debit,1800,Outright
FB.L,SD,2016-01-15,2016-01-15,ICP5319,Debit,200,Outright
F.L,SD,2016-01-06,2016-01-06,ICP0752,Credit,1300,Outright
APPL.L,SD,2016-03-03,2016-03-03,ICP6320,Debit,1100,Outright
FB.N,SD,2016-04-03,2016-04-03,ICP8622,Credit,900,Outright
IBM.N,TD,2017-08-13,2017-08-16,ICP6330,Credit,400,Outright
APPL.N,SD,2017-03-04,2017-03-04,ICP6692,Credit,700,Outright
DIS.OQ,SD,2017-07-01,2017-07-01,ICP4121,Debit,800,Outright
GOOGL.L,TD,2016-09-17,2016-09-20,ICP7319,Credit,300,Outright
GOOGL.N,TD,2017-04-27,2017-04-30,ICP6305,Credit,1700,Outright
APPL.OQ,TD,2016-11-03,2016-11-06,ICP5332,Debit,500,Outright
TSLA.OQ,SD,2016-04-10,2016-04-10,ICP7347,Debit,200,Outright
GOOGL.N,SD,2016-12-16,2016-12-16,ICP7176,Credit,1500,Outright
FB.N,TD,2016-08-22,2016-08-25,ICP6450,Credit,2000,Outright
IBM.OQ,TD,2017-07-04,2017-07-07,ICP0923,Credit,1600,Outright
AMZN.L,TD,2017-10-24,2017-10-27,ICP6399,Credit,1800,Outright
TSLA.N,SD,2016-08-22,2016-08-22,ICP4023,Debit,1200,Outright
F.L,TD,2017-11-16,2017-11-19,ICP1907,Credit,1500,Outright
APPL.N,SD,2017-09-10,2017-09-10,ICP9083,Debit,100,Outright
FB.N,TD,2017-02-22,2017-02-25,ICP9069,Credit,1800,Outright
GOOGL.L,TD,2016-08-11,2016-08-14,ICP7343,Credit,1000,Outright
DIS.OQ,TD,2016-11-10,2016-11-13,ICP9803,Debit,1800,Outright
DIS.L,TD,2016-04-19,2016-04-22,ICP8774,Credit,100,Outright
TSLA.N,SD,2016-04-16,2016-04-16,ICP4032,Credit,600,Outright
IBM.OQ,SD,2017-10-12,2017-10-12,ICP0503,Debit,600,Outright
TSLA.N,TD,2017-04-13,2017-04-16,ICP4834,Debit,1800,Outright
APPL.N,SD,2016-01-04,2016-01-04,ICP5267,Credit,1300,Outright
APPL.N,TD,2016-08-20,2016-08-23,ICP6862,Debit,1800,Outright
DIS.N,TD,2016-03-26,2016-03-29,ICP1634,Debit,1600,Outright
AMZN.L,TD,2016-02-16,2016-02-19,ICP0944,Credit,200,Outright
DIS.L,SD,2016-10-26,2016-10-26,ICP4848,Credit,200,Outright
DIS.OQ,TD,2017-07-14,2017-07-17,ICP9852,Debit,1500,Outright
TSLA.L,TD,2017-01-26,2017-01-29,ICP1621,Debit,1700,Outright
AMZN.L,SD,2017-09-09,2017-09-09,ICP5223,Credit,1100,Outright
DIS.OQ,TD,2016-12-07,2016-12-10,ICP1605,Debit,1700,Outright
IBM.N,SD,2016-09-18,2016-09-18,ICP5292,Debit,200,Outright
AMZN.L,SD,2017-02-26,2017-02-26,ICP8584,Debit,1400,Outright
IBM.L,SD,2017-02-03,2017-02-03,ICP8210,Debit,500,Outright
GOOGL.N,TD,2016-04-26,2016-04-29,ICP7344,Credit,1900,Outright
AMZN.N,SD,2017-11-09,2017-11-09,ICP1415,Debit,1100,Outright
IBM.N,SD,2017-05-14,2017-05-14,ICP3465,Credit,1200,Outright
DIS.L,SD,2016-01-18,2016-01-18,ICP2833,Credit,1300,Outright
IBM.N,TD,2017-03-05,2017-03-08,ICP4575,Debit,100,Outright
GOOGL.N,SD,2017-04-03,2017-04-03,ICP2536,Debit,1900,Outright
GOOGL.N,SD,2017-01-28,2017-01-28,ICP2266,Debit,700,Outright
IBM.OQ,TD,2017-05-16,2017-05-19,ICP8593,Debit,900,Outright
AMZN.L,SD,2016-06-08,2016-06-08,ICP8685,Debit,700,Outright
APPL.N,SD,2016-05-11,2016-05-11,ICP3537,Debit,800,Outright
TSLA.N,SD,2016-09-04,2016-09-04,ICP9322,Credit,400,Outright
APPL.OQ,SD,2016-04-19,2016-04-19,ICP7724,Credit,1800,Outright
TSLA.OQ,SD,2016-09-25,2016-09-25,ICP1262,Debit,200,Outright
AMZN.L,SD,2017-05-20,2017-05-20,ICP7288,Credit,700,Outright
FB.N,TD,2016-05-25,2016-05-28,ICP5335,Debit,1700,Outright
FB.L,SD,2016-09-19,2016-09-19,ICP4106,Debit,1400,Outright
AMZN.L,SD,2016-12-11,2016-12-11,ICP3470,Debit,1800,Outright
DIS.L,SD,2016-03-22,2016-03-22,ICP3082,Credit,900,Outright
APPL.N,SD,2016-11-21,2016-11-21,ICP6303,Credit,400,Outright
APPL.L,TD,2017-03-12,2017-03-15,ICP6311,Debit,1200,Outright
TSLA.N,SD,2017-01-25,2017-01-25,ICP2175,Credit,200,Outright
F.OQ,SD,2016-12-23,2016-12-23,ICP4324,Debit,1600,Outright
TSLA.N,SD,2016-05-15,2016-05-15,ICP1593,Credit,800,Outright
DIS.L,TD,2016-05-20,2016-05-23,ICP5174,Credit,300,Outright
AMZN.N,TD,2016-08-26,2016-08-29,ICP6488,Credit,1200,Outright
APPL.OQ,TD,2016-10-14,2016-10-17,ICP0684,Debit,800,Outright
TSLA.L,SD,2016-05-13,2016-05-13,ICP8763,Credit,1600,Outright
APPL.OQ,SD,2017-12-26,2017-12-26,ICP8378,Debit,200,Outright
AMZN.L,SD,2016-06-10,2016-06-10,ICP9447,Credit,700,Outright
GOOGL.L,TD,2017-06-16,2017-06-19,ICP8424,Debit,1800,Outright
AMZN.N,SD,2016-04-16,2016-04-16,ICP8118,Debit,2000,Outright
APPL.OQ,SD,2016-07-16,2016-07-16,ICP5106,Debit,200,Outright
GOOGL.N,SD,2016-04-20,2016-04-20,ICP7822,Credit,500,Outright
APPL.OQ,TD,2017-11-20,2017-11-23,ICP3742,Credit,800,Outright
IBM.L,TD,2016-02-26,2016-02-29,ICP6107,Debit,1200,Outright
GOOGL.L,SD,2017-06-09,2017-06-09,ICP2892,Credit,200,Outright
AMZN.OQ,TD,2016-02-10,2016-02-13,ICP1458,Debit,100,Outright
DIS.L,TD,2016-12-04,2016-12-07,ICP7081,Credit,2000,Outright
APPL.N,SD,2016-06-07,2016-06-07,ICP6036,Debit,1900,Outright
APPL.N,TD,2016-07-20,2016-07-23,ICP3453,Credit,300,Outright
FB.L,SD,2016-02-08,2016-02-08,ICP9984,Debit,600,Outright
TSLA.OQ,TD,2017-01-28,2017-01-31,ICP5937,Credit,1000,Outright
TSLA.OQ,SD,2017-12-06,2017-12-06,ICP5551,Credit,600,Outright
AMZN.L,SD,2016-02-21,2016-02-21,ICP0228,Credit,400,Outright
IBM.L,SD,2017-11-15,2017-11-15,ICP0692,Debit,700,Outright
TSLA.L,SD,2017-06-22,2017-06-22,ICP9296,Debit,500,Outright
FB.L,SD,2016-09-22,2016-09-22,ICP6235,Debit,1500,Outright
FB.OQ,SD,2016-06-06,2016-06-06,ICP5233,Debit,500,Outright
APPL.N,SD,2017-05-12,2017-05-12,ICP8726,Credit,1700,Outright
F.OQ,SD,2016-08-25,2016-08-25,ICP2364,Credit,1000,Outright
FB.N,SD,2017-10-13,2017-10-13,ICP5914,Credit,1700,Outright
FB.L,TD,2017-05-09,2017-05-12,ICP2436,Credit,100,Outright
FB.N,TD,2016-07-20,2016-07-23,ICP9013,Credit,1800,Outright
TSLA.L,TD,2016-03-26,2016-03-29,ICP2586,Debit,1700,Outright
APPL.OQ,TD,2016-08-08,2016-08-11,ICP5501,Credit,800,Outright
AMZN.L,TD,2016-01-24,2016-01-27,ICP0666,Credit,900,Outright
APPL.L,SD,2016-01-17,2016-01-17,ICP4686,Debit,1900,Outright
APPL.OQ,TD,2016-05-18,2016-05-21,ICP8433,Debit,500,Outright
F.N,SD,2017-06-27,2017-06-27,ICP4355,Credit,2000,Outright
APPL.OQ,SD,2016-07-20,2016-07-20,ICP9925,Credit,500,Outright
APPL.L,SD,2016-03-26,2016-03-26,ICP7376,Debit,1400,Outright
DIS.L,SD,2017-09-13,2017-09-13,ICP2976,Credit,500,Outright
FB.OQ,TD,2017-05-25,2017-05-28,ICP5722,Debit,400,Outright
DIS.N,TD,2017-07-12,2017-07-15,ICP9652,Credit,900,Outright
DIS.OQ,SD,2017-03-25,2017-03-25,ICP3635,Credit,700,Outright
TSLA.L,SD,2017-05-12,2017-05-12,ICP9412,Credit,200,Outright
FB.L,TD,2016-03-05,2016-03-08,ICP3845,Debit,1400,Outright
TSLA.N,TD,2016-04-15,2016-04-18,ICP9960,Credit,1600,Outright
GOOGL.N,TD,2016-04-19,2016-04-22,ICP0867,Debit,400,Outright
AMZN.L,TD,2017-03-02,2017-03-05,ICP2380,Credit,500,Outright
APPL.N,TD,2017-05-09,2017-05-12,ICP1258,Credit,200,Outright
APPL.N,TD,2017-10-05,2017-10-08,ICP7440,Debit,2000,Outright
DIS.N,SD,2016-03-28,2016-03-28,ICP6855,Debit,400,Outright
FB.L,SD,2016-08-08,2016-08-08,ICP9091,Credit,1400,Outright
APPL.L,TD,2017-09-22,2017-09-25,ICP0856,Credit,1300,Outright
GOOGL.OQ,TD,2017-10-02,2017-10-05,ICP3905,Debit,500,Outright
DIS.OQ,SD,2017-11-08,2017-11-08,ICP6389,Debit,200,Outright
APPL.OQ,TD,2016-07-01,2016-07-04,ICP5955,Debit,1600,Outright
FB.OQ,TD,2016-01-11,2016-01-14,ICP7942,Debit,1500,Outright
GOOGL.N,SD,2016-02-15,2016-02-15,ICP3942,Debit,200,Outright
IBM.L,SD,2017-03-11,2017-03-11,ICP0250,Credit,600,Outright
TSLA.N,TD,2016-11-06,2016-11-09,ICP5515,Credit,200,Outright
TSLA.OQ,TD,2017-06-25,2017-06-28,ICP9857,Credit,1700,Outright
TSLA.N,TD,2016-09-09,2016-09-12,ICP0686,Credit,1900,Outright
TSLA.L,SD,2017-06-18,2017-06-18,ICP2239,Debit,900,Outright
DIS.L,SD,2016-09-22,2016-09-22,ICP8403,Credit,1900,Outright
IBM.OQ,SD,2016-03-02,2016-03-02,ICP1500,Credit,1600,Outright
DIS.L,TD,2017-08-02,2017-08-05,ICP8033,Debit,1100,Outright
DIS.N,SD,2016-06-04,2016-06-04,ICP9947,Debit,2000,Outright
FB.OQ,TD,2017-01-20,2017-01-23,ICP9869,Credit,200,Outright
APPL.OQ,SD,2017-09-27,2017-09-27,ICP0880,Debit,1800,Outright
F.L,TD,2017-09-04,2017-09-07,ICP7426,Debit,1700,Outright
AMZN.L,SD,2017-10-23,2017-10-23,ICP4208,Debit,1400,Outright
FB.N,TD,2017-11-25,2017-11-28,ICP5745,Debit,1600,Outright
DIS.N,TD,2017-02-07,2017-02-10,ICP5336,Credit,300,Outright
APPL.OQ,TD,2016-12-17,2016-12-20,ICP2733,Debit,1600,Outright
AMZN.N,TD,2016-11-18,2016-11-21,ICP9848,Credit,200,Outright
APPL.L,SD,2016-02-21,2016-02-21,ICP3104,Credit,1800,Outright
GOOGL.N,TD,2016-10-02,2016-10-05,ICP0936,Credit,1000,Outright
TSLA.L,TD,2016-10-25,2016-10-28,ICP9274,Debit,1100,Outright
DIS.L,TD,2016-07-27,2016-07-30,ICP6816,Debit,600,Outright
IBM.OQ,SD,2017-01-18,2017-01-18,ICP9080,Debit,100,Outright
DIS.OQ,SD,2017-01-23,2017-01-23,ICP6892,Debit,700,Outright
APPL.N,SD,2017-09-26,2017-09-26,ICP0778,Debit,1800,Outright
AMZN.OQ,TD,2017-06-27,2017-06-30,ICP2596,Debit,1100,Outright
GOOGL.N,TD,2016-10-02,2016-10-05,ICP3504,Credit,500,Outright
AMZN.OQ,TD,2017-04-18,2017-04-21,ICP5104,Credit,1600,Outright
GOOGL.L,TD,2017-12-15,2017-12-18,ICP6530,Debit,1900,Outright
FB.N,SD,2017-04-28,2017-04-28,ICP1106,Debit,900,Outright
TSLA.N,TD,2016-01-22,2016-01-25,ICP3617,Debit,500,Outright
F.N,TD,2017-05-07,2017-05-10,ICP5291,Credit,1000,Outright
APPL.N,SD,2016-10-20,2016-10-20,ICP1264,Credit,1500,Outright
AMZN.L,SD,2017-05-26,2017-05-26,ICP0090,Debit,1200,Outright
GOOGL.N,TD,2016-02-24,2016-02-27,ICP6305,Debit,2000,Outright
F.L,SD,2017-03-09,2017-03-09,ICP8322,Debit,300,Outright
AMZN.L,TD,2017-03-25,2017-03-28,ICP8038,Debit,600,Outright
APPL.L,TD,2016-08-28,2016-08-31,ICP4573,Credit,200,Outright
F.OQ,SD,2017-05-07,2017-05-07,ICP0254,Debit,200,Outright
DIS.L,SD,2017-03-22,2017-03-22,ICP2952,Debit,400,Outright
IBM.N,TD,2016-02-15,2016-02-18,ICP1318,Debit,1100,Outright
DIS.L,SD,2017-08-16,2017-08-16,ICP6603,Credit,100,Outright
GOOGL.L,SD,2017-12-04,2017-12-04,ICP7930,Debit,1500,Outright
DIS.L,SD,2017-04-03,2017-04-03,ICP5623,Credit,1300,Outright
TSLA.N,TD,2017-04-19,2017-04-22,ICP3941,Debit,1000,Outright
FB.OQ,TD,2017-01-03,2017-01-06,ICP4434,Credit,1300,Outright
FB.L,SD,2016-07-02,2016-07-02,ICP9115,Debit,1900,Outright
IBM.N,SD,2017-08-19,2017-08-19,ICP8645,Debit,600,Outright
IBM.L,TD,2016-06-12,2016-06-15,ICP9534,Credit,1200,Outright
IBM.OQ,SD,2016-03-09,2016-03-09,ICP0793,Debit,1000,Outright
DIS.N,SD,2016-04-06,2016-04-06,ICP0903,Debit,1900,Outright
